Seq,Time,Lowest,Average,LowestUnit,AverageUnit
1,201609,18100,19614,10000,11277
2,201610,19500,21551,10000,11269
3,201611,18600,22300,10000,11427
4,201612,15300,20591,10000,10905
5,201701,15100,17508,10000,11093
6,201702,15900,17419,10000,11114
7,201703,17300,18358,10000,10945
8,201704,18900,20127,10000,11061
9,201705,21500,22996,10000,11063
10,201706,23900,25498,10000,11136
11,201707,25000,26668,10100,11170
12,201708,26800,28561,10800,11663
13,201709,28800,30535,11800,15659
14,201710,30000,32449,13800,18038
15,201711,30700,34046,16800,18982
16,201712,18000,32312,24000,26123
17,201801,21000,25213,28000,30832
18,201802,22800,24560,32200,34718
19,201803,25300,26939,39100,41653
20,201804,32100,34455,51000,56158
