Seq,Time,Lowest,Average,LowestUnit,AverageUnit
1,201804,32100,34455,51000,56158
2,201803,25300,26939,39100,41653
3,201802,22800,24560,32200 ,34718
4,201801,21000,25213,28000,30832
5,201712,18000,32312,24000,26123
6,201711,30700,34046,16800,18982
7,201710,30000,32449,13800,18038
8,201709,28800,30535,11800,15659
9,201708,26800,28561,10800,11663
10,201707,25000,26668,10100,11170
11,201706,23900,25498,10000,11136
12,201705,21500,22996,10000,11063
13,201704,18900,20127,10000,11061
14,201703,17300,18358,10000,10945
15,201702,15900,17419,10000,11114
16,201701,15100,17508 ,10000,11093
17,201612,15300,20591 ,10000,10905
18,201611,18600,22300,10000,11427
19,201610,19500,21551,10000,11269
20,201609,18100,19614,10000,11277
21,201608,15100,17330,10000,11114
22,201607,10100,24324,10000,11355
23,201606,23400,28541,10000,11420
24,201605,25000 ,27127,10000,11186
25,201604,23800 ,25701,10000,11496
26,201603,21100 ,23315,10000,11513
27,201602,19500,21884,10000,11560
28,201601,21000,25727,10000,12106
29,201512,24600,27077 ,10000,12009
30,201511,19000,20609 ,10000,11811
31,201510,16000,17487,10000,11254
32,201509,13500,16886,10000,11590
33,201508,10000,36231,10000,11878
34,201507,35000,37805,10000,12152
35,201506,26000,27672,10000,11822
36,201505,20200,21506,10000,11604
37,201504,16800,17798,10000,11593
38,201503,14500,15436,10000,11883
39,201502,13200,14331,10000,12391
40,201501,12000,13137,10000,11882
41,201412,10300,11421,10000,11604
42,201411,10000,11207,10000,11614
43,201410,10000,11442,10000,11836
44,201409,10000,12382,10000,11997
45,201408,10000,16654,10000,12375
46,201407,14800,18310,10000,12845
47,201406,16000,17024,10000,13134
48,201405,14500,15391,11000,12902
49,201404,13100,14074,10800,12452
50,201403,12300,13085,10300,12203
51,201402,11600,12777,10000,12494
52,201401,11500,12541,10000,12601
53,201312,10700,11959,10000,12958
54,201311,10000,11813,10000,14304
55,201310,10000,16384,10000,19510
56,201309,10000,30802,18000,20643
57,201308,23900,26599,15100,17385
58,201307,18700,20631,12500,14789
59,201306,14000,15743,10000,13117
60,201305,11600,12627,10000,12548
61,201304,10000,10998,10000,12017
62,201303,10000,10585,10000,11688
63,201302,10000,10573,10000,11762
64,201301,10000,10854,10000,12583
65,201212,10000,10955,10000,12303
66,201211,10000,10779,10000,12575
67,201210,10000,11067,10000,12674
68,201209,10000,14138,10000,15978
69,201208,10000,22822,10000,25515
